Year,Month,Snow precipitation rate,Rain precipitation rate,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature,Snow precipitation rate_max,Snow precipitation rate_min,Rain precipitation rate_max,Rain precipitation rate_min,Average Surface Skin temperature_max,Average Surface Skin temperature_min,Wind speed_max,Wind speed_min,Total precipitation rate_max,Total precipitation rate_min,Temperature_max,Temperature_min
2000.0,6.5,3.5438171210445805e-07,3.608428315070948e-05,289.48286158243815,2.728034791019228,3.6438682477384847e-05,289.329751586914,2.33793011451174e-06,0.0,9.469916646291192e-05,7.651061741853482e-06,301.3367665608724,275.51332194010416,3.4184738477071126,2.170052901903788,9.469916646291192e-05,7.692957008960851e-06,301.7220733642578,274.7118326822917
2001.0,6.5,9.132600517234363e-07,2.7630931891861924e-05,289.3563414679633,2.7860631840096577,2.8544169818663553e-05,289.2697926839193,5.474018833713975e-06,0.0,5.682469466895175e-05,2.383430561773518e-06,302.223393758138,276.7869934082031,3.482571991284688,2.1058892091115315,5.682469466895175e-05,2.383430561773518e-06,302.3007527669271,276.4712829589844
2002.0,6.5,1.2904612327574755e-07,4.279695105222143e-05,289.43689558241095,2.716171136167315,4.2926028304337805e-05,289.3809616936578,8.316935482829043e-07,0.0,9.215056925313548e-05,8.357736093482042e-06,300.8860117594401,277.3634073893229,3.159842681884766,1.9692738374074301,9.215056925313548e-05,8.360763869556346e-06,301.26320292154946,277.00746561686196
2003.0,6.5,4.101746056473725e-07,4.340838162117204e-05,288.6147399054633,2.6316331012381444,4.38185587654516e-05,288.41317130194767,3.4386155827329884e-06,0.0,0.00011084657283693863,4.297540340303385e-06,300.80865173339845,275.3790679931641,3.317653210957845,2.109251312414805,0.00011084657283693863,4.6626075345557185e-06,301.0392659505208,275.0159932454427
2004.0,6.5,1.320704707297788e-06,3.223032705047412e-05,289.3334716796875,2.5702473686801066,3.3551025050668514e-05,289.210706922743,1.2371115675099039e-05,0.0,6.894455533862735e-05,1.444556441280535e-06,301.03758748372394,275.7903991699219,3.201171708106995,2.0250207742055255,6.894455533862735e-05,1.444556441280535e-06,301.7543955485026,275.5424112955729
2005.0,6.5,1.2071737000661958e-06,4.523200151993478e-05,288.9866545783148,2.61118488907814,4.643924725845257e-05,289.1414965311686,6.793723120305609e-06,0.0,0.00011628805101887944,3.109973120748085e-06,301.0613749186198,273.25355936686196,3.19634370803833,2.1355741024017334,0.00011628805101887944,3.1119623751389253e-06,301.58949279785156,273.8033111572266
2006.0,6.5,6.162205619385086e-07,3.405827475262413e-05,289.63452962239586,2.510754001802868,3.467453525824263e-05,289.811671532525,4.72940479691412e-06,0.0,0.00010109485204642017,6.103346807625106e-06,301.12737935384115,277.1173807779948,3.255222503344218,1.8519413153330484,0.00010109485204642017,6.111411266829236e-06,301.12200724283855,276.9222106933594
2007.0,6.5,2.7186379601001896e-08,3.8158738436777644e-05,289.7240244547526,2.5248137301868865,3.818593041084266e-05,289.83696280585394,3.261693509097145e-07,0.0,0.0001261197445273865,4.9856527615096034e-06,300.4297810872396,276.3849680582682,3.010834797223409,2.1564504702885947,0.0001261197445273865,4.9856527615096034e-06,300.4513804117839,276.75079040527345
2008.0,6.5,2.8071206535350437e-06,3.715248679978029e-05,288.6168903774685,2.4832318458292213,3.995962236002823e-05,289.15440894232864,2.2958387125981973e-05,0.0,0.000117374260056143,1.8990230122047554e-06,301.0027211507161,272.75352478027344,3.0440020163853965,1.9188853700955708,0.000117374260056143,3.7844489118773104e-06,300.83038533528645,274.4991984049479
2009.0,6.5,4.216788521702967e-07,3.620459778833012e-05,289.0962573581271,2.4949048240979512,3.6626293977961825e-05,289.2972800360786,2.8378628959065583e-06,0.0,9.100907215421709e-05,4.820591402676655e-06,300.76369120279946,275.6234842936198,3.198449381192525,2.046150855223338,9.100907215421709e-05,4.820591402676655e-06,300.5945983886719,276.1775177001953
2010.0,6.5,8.432070867413366e-07,4.017819099620586e-05,288.7369339836968,2.6811534742514294,4.1021420664340756e-05,288.9921181572808,5.463928588748483e-06,0.0,0.00010848942256416194,2.7030555581101604e-06,300.90639139811196,276.801421101888,3.568972953160604,1.9649306456247966,0.00010848942256416194,2.7030555581101604e-06,301.16346028645836,277.3671020507812
2011.0,6.5,1.5832652492463957e-07,2.8995589116980682e-05,288.8918920728895,2.730134431521098,2.9153907196170315e-05,288.8762455410427,1.5620564549105135e-06,0.0,8.988725021481514e-05,8.43467745070825e-07,300.5572072347005,272.9870107014974,2.975734559694926,2.3857207695643106,8.988725021481514e-05,2.405470449199735e-06,300.36395467122395,272.71892700195315
2012.0,6.5,7.381889602895185e-07,3.5965076328163074e-05,288.82631903754344,2.9187817944420704,3.6703259522457504e-05,289.14576882256404,5.866760769398146e-06,0.0,8.469157182844356e-05,1.5515873443897968e-05,301.5935831705729,276.20188598632814,3.5539294640223185,2.5062842686971027,8.469157182844356e-05,1.5613790098238192e-05,301.7544016520182,276.49488728841146
2013.0,6.5,3.228310620372198e-08,3.2340618984486956e-05,289.4856092664931,2.91220602856742,3.237289973425402e-05,289.9752471076118,1.940773823131773e-07,0.0,6.608738816188028e-05,8.40102152324107e-06,302.1658426920573,275.96828104654946,3.5974262873331706,2.479229132334391,6.608738816188028e-05,8.593884528333244e-06,303.010780843099,276.82106221516926
