Year,Month,Snow precipitation rate,Rain precipitation rate,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature,Snow precipitation rate_max,Snow precipitation rate_min,Rain precipitation rate_max,Rain precipitation rate_min,Average Surface Skin temperature_max,Average Surface Skin temperature_min,Wind speed_max,Wind speed_min,Total precipitation rate_max,Total precipitation rate_min,Temperature_max,Temperature_min,Snow precipitation rate_678,Rain precipitation rate_678,Average Surface Skin temperature_678,Wind speed_678,Total precipitation rate_678,Temperature_678
2000.0,6.5,7.807829546666034e-07,5.0290451506498355e-05,288.46398864746095,2.7656682419776915,5.1071266983247663e-05,288.3467568969726,5.131758621246263e-06,0.0,0.0001232455758145079,8.736951576793217e-06,299.9233605957031,276.4137298583984,3.594484639167786,2.2231016826629637,0.0001232455758145079,8.987491928564851e-06,299.7837567138672,276.0391070556641,0.0,8.331670260910566e-05,298.1850954182942,2.268720472653707,8.331670260910566e-05,298.0795434570312
2001.0,6.5,1.3958625080925932e-06,4.700350590534677e-05,288.7062571207682,2.7279684575398764,4.8399403882134105e-05,288.732644297282,9.028232102537004e-06,0.0,0.0001256570751138497,1.2975919380551204e-05,300.6865057373047,278.05287170410156,3.375188431739807,1.9918855094909669,0.0001256570751138497,1.2975919380551204e-05,300.69171752929685,277.7399713134766,0.0,9.022714878180217e-05,297.9568904622396,2.1829408168792725,9.022714878180217e-05,298.061030069987
2002.0,6.5,1.483303488316647e-06,5.761289173127202e-05,288.87287368774406,2.729178308844567,5.9096213478066304e-05,288.9845361328125,1.4729419399373e-05,0.0,0.00011488470874610357,1.803200006179395e-05,299.04453552246093,278.39094909667966,3.1523104095458985,2.217265784740448,0.00011488470874610357,2.0089883873879445e-05,299.31800048828126,278.5657629394531,0.0,8.902519866145062e-05,298.1468420410156,2.3714354141553247,8.902519866145062e-05,298.43528218587244
2003.0,6.5,7.628152584017908e-07,4.2023496731265665e-05,288.79468226114915,2.698696115414302,4.2786327082164155e-05,288.77184666951496,7.676145082768926e-06,0.0,8.881685833330267e-05,7.566427402707632e-06,301.783056640625,275.36498779296875,3.2125268507003786,2.2855341720581053,8.881685833330267e-05,7.655991921637906e-06,302.1069714355469,275.8897149658203,0.0,6.339663575393691e-05,299.5451444498698,2.422507638931274,6.339663575393691e-05,299.6496559651693
2004.0,6.5,1.8940906530430048e-06,3.815464435433569e-05,288.775863087972,2.4835734220345813,4.004876569221475e-05,288.801198272705,1.5675298436690353e-05,0.0,8.815536290057935e-05,4.651782255677972e-06,300.2196063232422,276.3878479003906,2.9704709243774414,1.971354103088379,8.815536290057935e-05,4.651782255677972e-06,300.53007934570314,276.22613525390625,0.0,5.575508660209986e-05,298.41969563802087,2.1966928617159525,5.575508660209986e-05,298.7153698730469
2005.0,6.5,2.0192391482076745e-06,4.727083452470045e-05,288.4901855977376,2.403599254886309,4.929009854852969e-05,288.6296537272135,9.503571391178411e-06,0.0,8.704029009095394e-05,1.364381455914554e-05,300.4672247314453,273.6166613769531,2.938367528915405,2.0363549399375915,8.704029009095394e-05,1.7806177438615123e-05,300.9663848876953,274.38341735839845,0.0,7.175517525562706e-05,299.1175020345052,2.3012761068344116,7.175517525562706e-05,299.38963704427084
2006.0,6.5,2.847565272642849e-07,4.8101903068982196e-05,289.07863983154294,2.236842637459437,4.8386657591284655e-05,289.1263866170247,1.5856428493066232e-06,0.0,0.00010299708868842572,6.722903226545895e-06,300.27504455566407,278.34398071289064,2.8841778564453127,1.8570222306251525,0.00010299708868842572,6.722903226545895e-06,300.040576171875,278.12306213378906,0.0,6.96313983280561e-05,299.15041300455727,2.06124653339386,6.96313983280561e-05,299.0737003580729
2007.0,6.5,7.936891422810622e-08,4.7301423715377183e-05,289.1883257039388,2.2769329863786703,4.738080008754272e-05,289.1509485371908,5.483628973479426e-07,0.0,7.711258294875733e-05,8.060058321461839e-06,300.86311401367186,276.5093298339844,2.502903256416321,1.998218059539795,7.711258294875733e-05,8.067358353400777e-06,300.8324340820312,276.77489013671874,0.0,7.241944707250998e-05,299.07582987467447,2.1159102924664817,7.241944707250998e-05,298.7908131917318
2008.0,6.5,3.715385962266282e-06,4.5020055926713326e-05,288.1028210957845,2.1181270627180733,4.8735455072043504e-05,288.4665016174317,2.2856913819850888e-05,0.0,0.00012759379984345287,8.445431092551914e-07,300.32658203125,272.65819946289065,2.6547103834152224,1.6391079926490784,0.00012759379984345287,4.872161280218279e-06,300.09204650878905,275.6582012939453,0.0,9.510050843042943e-05,298.16021321614585,1.8752933645248413,9.510050843042943e-05,298.0082708740235
2009.0,6.5,1.0102215258878112e-06,4.761136320666992e-05,288.6837565612794,2.180786630908648,4.86216171725573e-05,288.68601888020834,6.957830651117547e-06,0.0,9.066613361937925e-05,4.7833387088758175e-06,299.6116296386719,275.7051702880859,2.6745833063125612,1.8704897475242614,9.066613361937925e-05,4.7833387088758175e-06,299.4727325439453,276.13668029785157,0.0,8.735304717750598e-05,298.82157653808594,2.0015163103739417,8.735304717750598e-05,298.5740016682943
2010.0,6.5,1.841320533046975e-06,6.280726822069484e-05,288.1800010681152,2.1038022007544837,6.464861106527074e-05,288.20748616536457,1.0079943535856728e-05,0.0,0.00010625617709592916,6.505333303721273e-06,300.79274108886716,277.44304748535154,2.7808755922317503,1.6100849103927612,0.00010625617709592916,6.507208299808554e-06,300.4966467285156,277.82747741699217,0.0,8.690201182616875e-05,298.2322237141927,1.768434243996938,8.690201182616875e-05,297.99037170410156
2011.0,6.5,1.0518751382268543e-06,4.527692589874732e-05,288.2053591918945,1.9701277259985606,4.63287970107255e-05,288.1831996663411,8.551895185178182e-06,0.0,0.00017946778243640437,5.786677427295217e-06,300.4092163085937,272.47495239257813,2.0882269072532655,1.7432183337211609,0.00017946778243640437,1.4338475948534323e-05,300.0169677734375,272.69850769042966,0.0,0.00011373377700995965,298.8105100504557,1.8203214907646181,0.00011373377700995965,298.45439595540364
2012.0,6.5,5.633134939642126e-07,6.338684704132902e-05,288.0716429138184,2.0066838993628817,6.395016054132914e-05,288.1737119547526,5.119362875802835e-06,0.0,0.00011845833403640427,1.6485645101056435e-05,300.22943908691406,276.42347839355466,2.3257333207130433,1.613094027042389,0.00011845833403640427,1.6485645101056435e-05,300.3147448730469,276.39408447265623,0.0,9.10953452330432e-05,298.389785563151,1.9683442942301432,9.10953452330432e-05,298.35044637044274
2013.0,6.5,4.714741262198951e-07,4.893347706759717e-05,288.780392964681,1.9901340740919107,4.9404944228020516e-05,289.08281951904297,3.9085446337594476e-06,0.0,0.00012768743312335573,1.2977330607100157e-05,300.84739990234374,276.25582397460937,2.3681562614440916,1.7160392212867737,0.00012768743312335573,1.3040354824624955e-05,301.37596252441404,276.67906372070314,0.0,7.584743464879769e-05,299.2308911132813,2.0635429883003233,7.584743464879769e-05,299.60451863606767
2014.0,6.5,6.299502213280571e-07,5.011694351082952e-05,288.733747660319,1.8632702825466791,5.07468851738698e-05,288.84140904744464,7.0459107229226e-06,0.0,0.00010444042520248331,2.992540312334313e-06,299.5253936767578,276.9947937011719,2.1608949184417723,1.4926430344581605,0.00010444042520248331,3.18923386203096e-06,299.4145269775391,277.42868774414063,0.0,9.945446149989342e-05,297.8029016113281,1.5813291017214457,9.945446149989342e-05,297.6386427815755
2015.0,6.5,1.5050371318843975e-08,6.96407292919806e-05,288.9041675821941,1.8148210106293359,6.965577619666874e-05,288.9701674906413,1.442321439526495e-07,0.0,0.00016794182593002916,1.95404999612947e-05,298.1369903564453,278.3808819580078,2.095463435649872,1.5989318251609803,0.00016794182593002916,1.9545120921975466e-05,298.2952783203125,278.6199505615234,0.0,0.00011428845789244709,297.42640502929686,1.9216095542907716,0.00011428845789244709,297.545044148763
2016.0,6.5,2.242378392589931e-07,7.221879615220436e-05,289.22120117187495,1.8239824104309081,7.244303375197585e-05,289.4683345540364,1.9781209476299465e-06,0.0,0.0001542752917157486,1.9174113040207884e-05,300.2423413085937,277.4009313964844,1.978806345462799,1.6712465238571168,0.0001542752917157486,1.9188145379303024e-05,300.7047564697266,277.2203656005859,0.0,8.78034117098044e-05,298.66038981119794,1.769958385626475,8.78034117098044e-05,299.0653767903646
2017.0,6.5,5.682733286012839e-08,5.117878061734397e-05,289.3033489481608,1.7255822837352748,5.123561069922289e-05,289.54656234741213,6.050892841713562e-07,0.0,0.00015713110013166443,8.547669467589004e-06,301.1160479736328,278.85297302246096,1.9635843539237976,1.5068541479110718,0.00015713110013166443,8.549209796910873e-06,301.7500067138672,279.27421813964844,0.0,9.260552544825865e-05,298.8330096435547,1.7248782936731974,9.260552544825865e-05,299.22993428548176
2018.0,6.5,2.2481493375655265e-06,5.078133557920713e-05,289.47357447306314,1.7016240817308426,5.302948211768429e-05,289.94258117675787,1.3117879045694281e-05,0.0,8.025757226278074e-05,1.6784142899268774e-05,300.98793212890627,276.1836254882812,2.0150716304779053,1.3900545620918274,8.025757226278074e-05,1.905439285110333e-05,301.19366271972655,276.8658142089844,0.0,7.711626429227182e-05,299.2618170166016,1.7433532651265462,7.711626429227182e-05,299.5201037597656
