Year,Month,Snow precipitation rate,Rain precipitation rate,Average Surface Skin temperature,Wind speed,Total precipitation rate,Temperature,Snow precipitation rate_max,Snow precipitation rate_min,Rain precipitation rate_max,Rain precipitation rate_min,Average Surface Skin temperature_max,Average Surface Skin temperature_min,Wind speed_max,Wind speed_min,Total precipitation rate_max,Total precipitation rate_min,Temperature_max,Temperature_min
2000.0,6.5,7.549572950867519e-07,3.958522635372219e-05,289.23181406656903,3.0231952456136546,4.034018511826313e-05,288.85637013117474,5.021848096475878e-06,0.0,9.216356829711003e-05,7.873588600659787e-06,301.28244400024414,276.3832416534424,3.8356820046901703,2.3975356221199036,9.216356829711003e-05,8.078629093688505e-06,300.90013313293457,275.78680992126465
2001.0,6.5,6.84866049578912e-07,3.8354467783108255e-05,289.2115035057068,2.9930592911938825,3.903932096941768e-05,288.92257102330524,4.866759070409898e-06,0.0,0.00010121453124156687,6.9025781215259485e-06,302.337121963501,277.29684829711914,3.771376922726631,2.276442065834999,0.00010121453124156687,6.9025781215259485e-06,301.8306541442871,277.0551948547363
2002.0,6.5,7.749501797713517e-07,4.661344370996782e-05,289.4059034983317,2.9164972379803658,4.738840398014569e-05,289.1130628585815,7.602116966154426e-06,0.0,8.164257724274648e-05,1.6961411745342048e-05,300.7131767272949,278.0864677429199,3.7146242409944534,2.211899846792221,8.164257724274648e-05,1.7656328054727055e-05,300.22155380249023,278.1813545227051
2003.0,6.5,4.419130290820676e-07,4.1659719426453044e-05,289.1058249473572,2.9439489133656025,4.210161866306331e-05,288.86116631825763,4.494405203558927e-06,0.0,0.00011120257113361731,9.097454636730617e-06,302.0146007537842,275.2285633087158,3.6472919583320618,2.2134061604738235,0.00011120257113361731,9.188482891886451e-06,301.8391284942627,275.4009666442871
2004.0,6.5,1.5660335328865464e-06,3.440474053917342e-05,289.5565061569214,2.921863406896591,3.597079580922961e-05,289.3591772715251,1.4238936387300782e-05,0.0,6.842104176030261e-05,3.5179183726086194e-06,301.85097312927246,276.02116203308105,3.7318272590637207,2.205618754029274,6.842104176030261e-05,3.5179183726086194e-06,301.7614269256592,275.94996643066406
2005.0,6.5,1.215178270591588e-06,4.203988266719231e-05,289.2726713816325,2.97788110251228,4.3255020417613345e-05,289.2968344688416,7.625705620739609e-06,0.0,9.607321135263192e-05,9.548588764118904e-06,301.4788360595703,273.7874412536621,3.722251445055008,2.465946689248085,9.607321135263192e-05,9.569329705527707e-06,301.5748748779297,274.49804306030273
2006.0,6.5,4.246008981657427e-07,4.037527001680511e-05,289.84750080108637,2.95549135034283,4.079985952287757e-05,289.76580508550006,2.6330636089255677e-06,0.0,0.0001083929691958474,4.093346760214445e-06,301.6300868988037,278.0000514984131,3.829045057296753,2.391166776418686,0.0001083929691958474,4.093346760214445e-06,301.1195755004883,277.897403717041
2007.0,6.5,4.6641059998706276e-08,4.4063836043051197e-05,289.97027524312335,2.8813136561463275,4.411047196602643e-05,289.8890968958537,5.168247770442891e-07,0.0,0.00011755425794035546,5.201406224841776e-06,301.674861907959,277.02613258361816,3.592845857143402,2.109319604933262,0.00011755425794035546,5.201406224841776e-06,301.2866668701172,277.3651523590088
2008.0,6.5,3.3320014451258353e-06,3.98446133494564e-05,288.828408241272,2.7735150270164013,4.317662402542055e-05,289.06526311238605,1.94975755221094e-05,0.0,0.00011464499993962818,3.3353448394279894e-06,301.9317932128906,273.36765480041504,3.2372479885816574,2.183055579662323,0.00011464499993962818,8.067086781693433e-06,301.3273506164551,275.80484199523926
2009.0,6.5,5.253531011505224e-07,4.540969188582267e-05,289.4369187355041,2.7872729934751987,4.593505990394912e-05,289.38539203008014,4.097605824426864e-06,0.0,0.00010536040872466401,5.731048332791033e-06,300.70594215393066,275.8045024871826,3.4869036078453064,2.2324432730674744,0.00010536040872466401,5.731048332791033e-06,300.25034523010254,276.27320861816406
2010.0,6.5,1.469345383734814e-06,4.6074004875625484e-05,288.93182770411175,3.0843483644227185,4.7543368789130604e-05,288.9639835357666,8.2035155912763e-06,0.0,0.0001143649692494364,5.932187491453078e-06,301.7820873260498,277.02323722839355,4.355698466300964,2.2167770713567734,0.0001143649692494364,5.932187491453078e-06,301.38806343078613,277.4589500427246
2011.0,6.5,2.836517291847363e-07,3.994897666063461e-05,288.84866189956665,3.096104913701614,4.023261931488757e-05,288.60189421971637,2.819884073801404e-06,0.0,0.00015409749903483316,1.9994203555029344e-06,300.83909797668457,273.47764778137207,3.52754707634449,2.595875844359398,0.00015409749903483316,4.819279297407775e-06,300.19303703308105,273.39159393310547
2012.0,6.5,5.645351696855391e-07,4.636668669869929e-05,288.84756835301715,3.402154702693224,4.693121175591841e-05,288.7998531659444,3.885181371288127e-06,0.0,9.923412289936095e-05,1.784536289051175e-05,301.3239402770996,276.89768981933594,4.399922400712967,2.8322745114564896,9.923412289936095e-05,1.784536289051175e-05,300.92686653137207,276.93060874938965
2013.0,6.5,2.738771006207188e-07,3.6436143242705534e-05,289.4653662045797,3.264135709653298,3.6710023110231305e-05,289.58491309483844,3.1618024252111354e-06,0.0,8.189783784473548e-05,1.3981678478103277e-05,302.09075355529785,276.76752281188965,3.780672147870064,2.7357137352228165,8.189783784473548e-05,1.402716736720322e-05,302.3156452178955,277.174165725708
2014.0,6.5,3.545413895782862e-07,4.244149543334667e-05,289.4119129180908,3.259364033738772,4.279604575548509e-05,289.3752595583598,4.2212053443790865e-06,0.0,0.00011133097314086626,3.411567519151504e-06,299.7250633239746,278.1337661743164,4.301634892821312,2.4275331795215607,0.00011133097314086626,3.419102810653385e-06,299.40109062194824,278.60556411743164
2015.0,6.5,5.604658679433244e-09,6.103094876645324e-05,289.6268032391866,3.670323924471935,6.103654707582488e-05,289.8968764940898,5.8984374827139585e-08,0.0,0.0001812953887565527,2.189012093367637e-05,299.48013496398926,278.57049560546875,4.061608597636223,3.322589084506035,0.0001812953887565527,2.189012093367637e-05,299.8745975494385,279.0981197357178
